texto,movilidad,oido,vista
"toy ciego y sin sentido del oido, soy hiperactivo.",2,0,0
ando con muletas aunque la luz me deslumbra demasiado pero no oigo ni papa.,0,0,2
tengo hipersensibilidad visual,1,1,2
me muevo compulsivamente aunque necesito ambiente oscuro,2,1,2
no puedo andar. no soporto las luces brillantes,0,1,2
tengo vision normal,1,1,1
"luz solar me ciega camino con mueletas, por otro lado tapon en el oido.",0,0,2
"tengo tdah, toy sordo ademas no tengo problemas en los ojos.",2,0,1
tengo muy poca audicion aunque dificultad severa para moverme,0,0,1
sufro tdah pero oigo bien ademas todo ok con la vista.,2,1,1
mi oido es normal,1,1,1
tengo hiperacusia,1,2,1
oigo genial y llevo lentillas y veo bien,1,1,1
no me funcionan los ojos oigo bien,1,1,0
no oigo ni papa,1,0,1
no me funcionan los ojos,1,1,0
ando bien de las piernas,1,1,1
puedo andar sin problemas. tengo hipersensibilidad auditiva pero no distingo formas ni colores.,1,2,0
camino bien y perdi el ojo tengo muy poca audicion.,1,0,0
tengo hiperactividad,2,1,1
hipersensibilidad a la luz,1,1,2
ando cojo y audicion sin problemas,0,1,1
sufro tdah no soporto las luces brillantes,2,1,2
"he perdido la vista, no escucho nada",1,0,0
tengo tics motores. tengo hiperacusia,2,2,1
ando bien de las piernas y escucho cero,1,0,1
"me molesta mucho la luz aunque escucho perfectamente, camino perfectamente.",1,1,2
"tengo sordera profunda ademas la luz me deslumbra demasiado, estoy postrado.",0,0,2
he perdido la vista,1,1,0
ando cojo hiperaudicion. pantallas muy brillantes me duelen.,0,2,2
veo bien escucho perfectamente. camino perfectamente.,1,1,1
"soy hiperactivo, por otro lado no veo en absoluto, por otro lado ruido ambiental me agobia.",2,2,0
diagnosticado de tdah,2,1,1
mi vista es normal aunque tengo muy poca audicion,1,0,1
ruido ambiental me agobia,1,2,1
soy paralitico ademas de la vista ando bien,0,1,1
tengo sordera profunda,1,0,1
no soporto el volumen alto pero tengo fotofobia pero no puedo mover las piernas.,0,2,2
audicion sin problemas y uso gafas para leer aunque camino con mueletas.,0,1,1
los brillos me hacen daño en los ojos,1,1,2
oigo bien,1,1,1
casi no tengo vista,1,1,0
veo perfectamente,1,1,1
"tengo vision nula, por otro lado no puedo caminar y no escucho nada.",0,0,0
veo todo muy borroso aunque ando bien de las piernas. tapon en el oido.,1,0,0
estoy postrado. escucho las conversaciones sin problema,0,1,1
"ando en silla de ruedas, por otro lado casi no tengo vista pero audicion sin problemas.",0,1,0
mi agudeza visual es correcta ademas de oido ando perfecto aunque me cuesta mucho caminar.,0,1,1
mi oido es normal pero camino con baston aunque tengo fotofobia.,0,1,2
me fallan las piernas,0,1,1
"no puedo mover las piernas, por otro lado oigo muy mal",0,0,1
soy sordo y me muevo con normalidad,1,0,1
el ruido fuerte me daña aunque no puedo andar,0,2,1
la luz me deslumbra demasiado ademas tengo tics motores,2,1,2
puedo andar sin problemas pero no oigo ni papa,1,0,1
audicion sin problemas pero puedo andar sin problemas,1,1,1
me muevo con normalidad ademas escucho los ruidos demasiado fuertes y tengo fotofobia.,1,2,2
de la vista ando bien,1,1,1
estoy inmovilizado pero me molestan mucho los ruidos,0,2,1
sensible a pitidos,1,2,1
"tengo movilidad muy reducida, por otro lado me molesta mucho la luz",0,1,2
"no soporto estar atrapado pero orejas sensibles, por otro lado veo lo estandar.",2,2,1
no puedo mover las piernas,0,1,1
"soy paraplejico, por otro lado me molestan mucho los ruidos",0,2,1
sensible a pitidos,1,2,1
"mi agudeza visual es correcta, me molestan mucho los ruidos, por otro lado no me puedo quedar quieto.",2,2,1
camino bien,1,1,1
vista de aguila,1,1,2
toy ciego. oido demasiado sensible. ningun problema para caminar.,1,2,0
invalido,0,1,1
orejas sensibles,1,2,1
mi movilidad es normal,1,1,1
sordo total veo destellos constantemente. necesito espacio amplio.,2,0,2
"escucho perfectamente, por otro lado tengo ceguera total",1,1,0
tengo fotofobia aunque los sonidos agudos me dan dolor de cabeza,1,2,2
no veo nada,1,1,0
hipervision,1,1,2
"veo bien, audicion sin problemas, por otro lado puedo andar sin problemas.",1,1,1
"escucho los ruidos demasiado fuertes, por otro lado tengo muy poca vision",1,2,0
"necesito ambiente oscuro, de oido ando perfecto ademas tengo hiperactividad.",2,1,2
"ando bien de las piernas, me molestan mucho los ruidos aunque tengo vision nula.",1,2,0
ando en silla de ruedas,0,1,1
inquietud motora extrema ademas sordo total aunque tengo dolor ocular.,2,0,0
"hipervision pero uso lenguaje de senas, dificultad severa para moverme.",0,0,2
"ando con muletas, por otro lado mi oido es normal",0,1,1
"hipermovilidad, por otro lado de oido ando perfecto",2,1,1
"tengo ceguera total, por otro lado camino perfectamente pero de oido ando perfecto.",1,1,0
audicion sin problemas voy en silla,0,1,1
inquietud motora extrema,2,1,1
no veo casi nada,1,1,0
sin problemas de vista,1,1,1
perdi el ojo,1,1,0
no me puedo quedar quieto,2,1,1
movilidad estandar aunque veo bien,1,1,1
sordo total,1,0,1
camino perfectamente,1,1,1
escucho perfectamente,1,1,1
sensible a pitidos,1,2,1
sin problemas de movilidad. tengo audicion nula pero toy ciego.,1,0,0
dolor de ojos,1,1,0
veo bien oigo bien,1,1,1
camino bien pero hipervision y tengo hipersensibilidad auditiva.,1,2,2
soy hiperactivo,2,1,1
"me muevo con normalidad todo ok con la vista, tengo sordera profunda.",1,0,1
veo destellos constantemente,1,1,2
"invalido, tengo audicion nula pero todo ok con la vista.",0,0,1
"no soporto las luces brillantes, por otro lado no soporto estar atrapado, por otro lado hiperaudicion.",2,2,2
sin problemas de oido,1,1,1
tengo hipersensibilidad auditiva y vista de aguila ademas estoy inmovilizado.,0,2,2
"diagnosticado de tdah, por otro lado sin problemas de oido, tengo vision normal.",2,1,1
no tengo problemas en los ojos y tengo audicion nula,1,0,1
tengo vision normal movilidad estandar,1,1,1
me duelen los ojos camino con baston,0,1,0
"tengo fotofobia, sordo total ademas invalido.",0,0,2
audicion sin problemas pero camino bien,1,1,1
uso gafas para leer. escucho las conversaciones sin problema,1,1,1
oigo bien y no veo en absoluto,1,1,0
"vista de aguila, ningun problema para caminar ademas me molestan mucho los ruidos.",1,2,2
sordo total,1,0,1
no soporto estar atrapado pero de oido ando perfecto,2,1,1
"no puedo mover las piernas, por otro lado toy sordo, dolor de ojos.",0,0,0
me muevo compulsivamente ademas tengo hiperacusia,2,2,1
no me funcionan los oidos,1,0,1
camino perfectamente,1,1,1
uso gafas para leer. tengo movilidad muy reducida,0,1,1
camino perfectamente,1,1,1
"veo bien, por otro lado sin problemas de oido",1,1,1
tengo audicion normal,1,1,1
"oigo genial, por otro lado sin problemas de vista ademas camino con baston.",0,1,1
tengo audicion nula no me funcionan los ojos diagnosticado de tdah.,2,0,0
camino con mueletas,0,1,1
no tengo piernas aunque no oigo ni papa,0,0,1
no soporto las luces brillantes ademas no oigo nada y camino perfectamente.,1,0,2
no puedo andar,0,1,1
escucho todo muy apagado ademas tengo necesidad constante de moverme,2,0,1
escucho todo muy apagado pero ningun problema para caminar,1,0,1
me duelen los ojos,1,1,0
la luz me deslumbra demasiado aunque soy sordo,1,0,2
uso baston para ciegos ademas toy sordo,1,0,0
he perdido la vista,1,1,0
"no soporto el volumen alto ademas no puedo caminar, luz solar me ciega.",0,2,2
no me funcionan los ojos,1,1,0
no soporto el volumen alto,1,2,1
no oigo ni papa. tengo hipersensibilidad visual,1,0,2
escucho perfectamente pero soy paraplejico pero ojos sensibles.,0,1,2
no tengo piernas y tengo muy poca audicion tengo ceguera total.,0,0,0
sin problemas de oido,1,1,1
tengo hipersensibilidad auditiva,1,2,1
tengo vision normal aunque no puedo mover las piernas ademas no tengo orejas.,0,0,1
ojos sensibles pero camino con baston,0,1,2
tengo audicion nula,1,0,1
no soporto el volumen alto,1,2,1
no oigo ni papa,1,0,1
sin problemas de vista y audicion sin problemas pero ando bien de las piernas.,1,1,1
sensible a pitidos. camino perfectamente,1,2,1
tengo hiperacusia ademas me molesta mucho la luz no puedo andar.,0,2,2
camino con mueletas,0,1,1
tengo fotofobia,1,1,2
tengo vision nula y sin sentido del oido aunque ando en silla de ruedas.,0,0,0
no puedo subir escaleras y uso lenguaje de senas pero de la vista ando bien.,0,0,1
uso gafas para leer aunque hipermovilidad,2,1,1
me muevo con normalidad ademas tengo fotofobia,1,1,2
escucho los ruidos demasiado fuertes,1,2,1
"veo muy mal pero sufro tdah, por otro lado orejas sensibles.",2,2,0
"no tengo problemas en los ojos, por otro lado sin problemas de movilidad oigo muy mal.",1,0,1
veo lo estandar,1,1,1
"de oido ando perfecto, no distingo formas ni colores",1,1,0
veo lo estandar orejas sensibles ademas ando cojo.,0,2,1
mi movilidad es normal pero tengo vision normal,1,1,1
escucho todo muy apagado pero mi vista es normal,1,0,1
mi oido es normal,1,1,1
veo perfectamente y escucho las conversaciones sin problema,1,1,1
"mi vista es normal, sensible a pitidos, puedo andar sin problemas.",1,2,1
me muevo con normalidad,1,1,1
camino con baston y oigo muy mal y necesito ambiente oscuro.,0,0,2
tengo tdah,2,1,1
tengo audicion normal,1,1,1
"tengo vision normal, diagnosticado de tdah",2,1,1
ningun problema para caminar ademas sin problemas de oido,1,1,1
no soporto las luces brillantes y necesidad de moverme siempre,2,1,2
tengo hipersensibilidad visual pero tengo hipersensibilidad auditiva,1,2,2
escucho perfectamente y tengo ceguera total diagnosticado de tdah.,2,1,0
"no veo en absoluto, por otro lado camino perfectamente, por otro lado uso lenguaje de senas.",1,0,0
"tengo hipersensibilidad visual aunque sensible a pitidos, diagnosticado de tdah.",2,2,2
"oigo genial. movilidad estandar, por otro lado hipervision.",1,1,2
oigo muy mal,1,0,1
sordo total pero veo lo estandar,1,0,1
tengo muy poca vision oigo genial,1,1,0
tengo hiperactividad y oigo bien ademas tengo vision normal.,2,1,1
camino bien,1,1,1
puedo andar sin problemas,1,1,1
oigo bien y voy en silla,0,1,1
los brillos me hacen daño en los ojos. tengo tdah,2,1,2
orejas sensibles,1,2,1
no tengo problemas en los ojos pero audicion sin problemas no me puedo quedar quieto.,2,1,1
ojos sensibles no puedo caminar,0,1,2
pantallas muy brillantes me duelen,1,1,2
dolor de ojos tengo tdah,2,1,0
"ojos sensibles, audicion sin problemas",1,1,2
dolor de ojos,1,1,0
"no soporto estar atrapado. los brillos me hacen daño en los ojos, el ruido fuerte me daña.",2,2,2
casi no tengo vista,1,1,0
tengo hipersensibilidad auditiva. vista de aguila,1,2,2
llevo lentillas y veo bien,1,1,1
no me funcionan los ojos pero escucho las conversaciones sin problema aunque dificultad severa para moverme.,0,1,0
tengo tdah,2,1,1
me muevo con normalidad y oigo genial,1,1,1
sin sentido del oido,1,0,1
escucho todo muy apagado ademas sin problemas de vista tengo necesidad constante de moverme.,2,0,1
no tengo orejas,1,0,1
ando bien de las piernas,1,1,1
me molestan mucho los ruidos,1,2,1
"dolor de ojos, necesito espacio amplio, por otro lado tengo muy poca audicion.",2,0,0
no oigo nada. me muevo con normalidad. pantallas muy brillantes me duelen.,1,0,2
"no me funcionan los oidos, por otro lado necesidad de moverme siempre",2,0,1
me muevo con normalidad,1,1,1
oido demasiado sensible pero movilidad estandar,1,2,1
uso gafas para leer,1,1,1
vista de aguila,1,1,2
"sordo total, por otro lado no puedo caminar",0,0,1
"veo muy mal, por otro lado camino bien",1,1,0
tengo muy poca audicion,1,0,1
tengo dolor ocular,1,1,0
camino bien y todo ok con la vista,1,1,1
necesito ambiente oscuro,1,1,2
los brillos me hacen daño en los ojos. no me funcionan los oidos pero puedo andar sin problemas.,1,0,2
me cuesta mucho caminar tengo hiperacusia aunque veo bien.,0,2,1
me molestan mucho los ruidos pantallas muy brillantes me duelen pero camino con mueletas.,0,2,2
oigo bien y de la vista ando bien aunque me muevo con normalidad.,1,1,1
"oigo genial, diagnosticado de tdah pero veo bien.",2,1,1
los brillos me hacen daño en los ojos,1,1,2
"me fallan las piernas, por otro lado la luz me deslumbra demasiado",0,1,2
hipermovilidad ademas todo ok con la vista,2,1,1
veo todo muy borroso,1,1,0
todo ok con la vista pero camino perfectamente,1,1,1
"tengo tics motores, por otro lado no veo en absoluto",2,1,0
escucho las conversaciones sin problema pero mi agudeza visual es correcta,1,1,1
"no me funcionan los ojos, por otro lado diagnosticado de tdah ademas toy sordo.",2,0,0
me muevo con normalidad,1,1,1
ningun problema para caminar oigo genial pero toy ciego.,1,1,0
soy tuerto aunque me muevo con normalidad aunque sin problemas de oido.,1,1,0
tengo hipersensibilidad auditiva,1,2,1
luz solar me ciega,1,1,2
sin problemas de vista,1,1,1
necesito ambiente oscuro. los sonidos agudos me dan dolor de cabeza dificultad severa para moverme.,0,2,2
tengo audicion normal aunque tengo vision normal,1,1,1
"me cuesta mucho caminar. veo muy mal, escucho perfectamente.",0,1,0
camino con mueletas oido demasiado sensible,0,2,1
no tengo problemas en los ojos y inquietud motora extrema,2,1,1
no me puedo quedar quieto. veo bien. audicion sin problemas.,2,1,1
no soporto las luces brillantes,1,1,2
tengo vision normal aunque tengo audicion normal camino con mueletas.,0,1,1
orejas sensibles,1,2,1
"tapon en el oido, soy hiperactivo",2,0,1
"mi movilidad es normal ademas tengo ceguera total, por otro lado me molestan mucho los ruidos.",1,2,0
inquietud motora extrema y escucho las conversaciones sin problema,2,1,1
sin problemas de vista. tengo audicion normal. necesidad de moverme siempre.,2,1,1
no tengo ojos y me muevo con normalidad. oido demasiado sensible.,1,2,0
camino bien mi agudeza visual es correcta,1,1,1
sin problemas de movilidad ademas tengo muy poca audicion,1,0,1
ciego de nacimiento,1,1,0
casi no tengo vista y sensible a pitidos pero no puedo andar.,0,2,0
soy hiperactivo aunque escucho todo muy apagado,2,0,1
sin problemas de movilidad y tengo audicion nula,1,0,1
no puedo andar ademas mi oido es normal ademas me duele el ojo.,0,1,0
tengo audicion normal aunque no puedo caminar,0,1,1
"necesidad de moverme siempre, por otro lado escucho todo muy apagado",2,0,1
oigo genial pero uso gafas para leer,1,1,1
veo destellos constantemente aunque movilidad estandar sensible a pitidos.,1,2,2
"toy sordo, movilidad estandar",1,0,1
me molestan mucho los ruidos,1,2,1
soy ciego parcialmente,1,1,0
"no tengo orejas veo destellos constantemente, necesidad de moverme siempre.",2,0,2
"mi movilidad es normal, por otro lado la luz me deslumbra demasiado ademas tengo audicion normal.",1,1,2
"me fallan las piernas, hipersensibilidad a la luz ademas tengo hipersensibilidad auditiva.",0,2,2
no soporto las luces brillantes,1,1,2
tengo tdah tengo vision normal,2,1,1
mi oido es normal aunque mi vista es normal. puedo andar sin problemas.,1,1,1
sin sentido del oido,1,0,1
sensible a pitidos,1,2,1
toy ciego y me muevo con normalidad pero tengo hiperacusia.,1,2,0
escucho todo muy apagado,1,0,1
tengo vision normal inquietud motora extrema,2,1,1
no tengo piernas,0,1,1
tengo movilidad muy reducida,0,1,1
"me muevo con normalidad, no oigo nada y de la vista ando bien.",1,0,1
"sufro tdah veo destellos constantemente, por otro lado escucho los ruidos demasiado fuertes.",2,2,2
mi agudeza visual es correcta,1,1,1
"sin sentido del oido, inquietud motora extrema ademas no tengo problemas en los ojos.",2,0,1
me muevo compulsivamente,2,1,1
no me puedo quedar quieto,2,1,1
"sufro tdah, por otro lado oigo muy mal pero tengo dolor ocular.",2,0,0
no me puedo quedar quieto escucho los ruidos demasiado fuertes pero me molesta mucho la luz.,2,2,2
me muevo con normalidad aunque perdi el ojo aunque tengo audicion nula.,1,0,0
veo lo estandar puedo andar sin problemas,1,1,1
sin problemas de oido,1,1,1
ruido ambiental me agobia pero sin problemas de vista y mi movilidad es normal.,1,2,1
sufro tdah,2,1,1
tengo vision normal,1,1,1
me duelen los ojos. movilidad estandar,1,1,0
de oido ando perfecto. no tengo ojos,1,1,0
no escucho nada aunque veo perfectamente aunque ningun problema para caminar.,1,0,1
hipermovilidad pero veo bien,2,1,1
"me muevo con normalidad, por otro lado oigo muy mal. me molesta mucho la luz.",1,0,2
sensible a pitidos,1,2,1
diagnosticado de tdah aunque oigo bien,2,1,1
"escucho cero, por otro lado me duele el ojo. camino perfectamente.",1,0,0
sin problemas de movilidad,1,1,1
los sonidos agudos me dan dolor de cabeza y me fallan las piernas y todo ok con la vista.,0,2,1
mi movilidad es normal,1,1,1
luz solar me ciega y orejas sensibles,1,2,2
escucho todo muy apagado,1,0,1
"ando con muletas, no oigo nada aunque no tengo problemas en los ojos.",0,0,1
"sufro tdah, por otro lado ciego de nacimiento ademas escucho cero.",2,0,0
no soporto estar atrapado,2,1,1
perdi el ojo,1,1,0
no veo casi nada no oigo nada,1,0,0
mi movilidad es normal y no soporto las luces brillantes. escucho los ruidos demasiado fuertes.,1,2,2
estoy inmovilizado pero tengo ceguera total,0,1,0
perdi el ojo pero no me puedo quedar quieto,2,1,0
ando bien de las piernas sin problemas de oido,1,1,1
oido demasiado sensible ademas puedo andar sin problemas ademas tengo vision normal.,1,2,1
voy en silla,0,1,1
luz solar me ciega aunque camino con baston pero uso lenguaje de senas.,0,0,2
camino bien. escucho los ruidos demasiado fuertes,1,2,1
"tapon en el oido tengo necesidad constante de moverme, hipersensibilidad a la luz.",2,0,2
"tengo hipersensibilidad visual, me cuesta mucho caminar",0,1,2
mi oido es normal,1,1,1
mi oido es normal,1,1,1
escucho perfectamente,1,1,1
me cuesta mucho caminar. toy ciego,0,1,0
inquietud motora extrema,2,1,1
soy sordo. ningun problema para caminar,1,0,1
veo destellos constantemente,1,1,2
"no soporto el volumen alto ademas tengo tics motores, hipersensibilidad a la luz.",2,2,2
"veo destellos constantemente, no soporto estar atrapado",2,1,2
mi oido es normal me cuesta mucho caminar,0,1,1
"soy ciego parcialmente, por otro lado escucho todo muy apagado",1,0,0
sin sentido del oido. diagnosticado de tdah,2,0,1
me molestan mucho los ruidos,1,2,1
camino muy lento,0,1,1
no tengo ojos,1,1,0
escucho todo muy apagado y camino perfectamente aunque vista de aguila.,1,0,2
camino perfectamente y tengo audicion nula y necesito ambiente oscuro.,1,0,2
soy sordo,1,0,1
veo todo muy borroso aunque oigo genial,1,1,0
me muevo compulsivamente,2,1,1
tengo tdah,2,1,1
"ando bien de las piernas, por otro lado tengo audicion normal",1,1,1
diagnosticado de tdah,2,1,1
no me funcionan los oidos ademas de la vista ando bien pero tengo tics motores.,2,0,1
no veo nada. ando bien de las piernas,1,1,0
"sufro tdah, no soporto las luces brillantes",2,1,2
me molestan mucho los ruidos pero invalido y me molesta mucho la luz.,0,2,2
tengo hiperactividad,2,1,1
"tengo movilidad muy reducida, sin problemas de vista",0,1,1
mi movilidad es normal ademas no veo en absoluto,1,1,0
"diagnosticado de tdah, por otro lado mi vista es normal",2,1,1
audicion sin problemas y no puedo subir escaleras,0,1,1
tengo hipersensibilidad visual aunque sensible a pitidos,1,2,2
"no soporto el volumen alto, por otro lado camino bien y luz solar me ciega.",1,2,2
no soporto estar atrapado aunque me duelen los ojos,2,1,0
"sordo total, tengo movilidad muy reducida",0,0,1
"tengo vision nula, ando bien de las piernas",1,1,0
"me molestan mucho los ruidos, sin problemas de vista",1,2,1
camino perfectamente,1,1,1
"ruido ambiental me agobia, camino con mueletas",0,2,1
orejas sensibles,1,2,1
soy hiperactivo,2,1,1
no soporto las luces brillantes ando en silla de ruedas,0,1,2
sordo total,1,0,1
me molestan mucho los ruidos tengo muy poca vision ademas no puedo andar.,0,2,0
me muevo con normalidad aunque tengo fotofobia,1,1,2
"hipersensibilidad a la luz, sensible a pitidos, camino con mueletas.",0,2,2
veo destellos constantemente,1,1,2
uso gafas para leer pero voy en silla,0,1,1
tapon en el oido ademas veo lo estandar,1,0,1
"soy tuerto de oido ando perfecto, por otro lado tengo movilidad muy reducida.",0,1,0
"escucho los ruidos demasiado fuertes aunque camino perfectamente, necesito ambiente oscuro.",1,2,2
"oigo muy mal, por otro lado puedo andar sin problemas ademas llevo lentillas y veo bien.",1,0,1
luz solar me ciega pero camino perfectamente,1,1,2
hipervision,1,1,2
tengo sordera profunda,1,0,1
mi movilidad es normal,1,1,1
no tengo piernas. no me funcionan los ojos,0,1,0
necesidad de moverme siempre y tengo hiperacusia,2,2,1
sordo total,1,0,1
escucho cero,1,0,1
estoy inmovilizado,0,1,1
hiperaudicion,1,2,1
ojos sensibles ademas ando con muletas,0,1,2
me duelen los ojos me muevo con normalidad. tengo hipersensibilidad auditiva.,1,2,0
no veo en absoluto,1,1,0
no me puedo quedar quieto aunque no tengo ojos,2,1,0
veo muy mal y tengo hipersensibilidad auditiva,1,2,0
tengo muy poca audicion,1,0,1
ando en silla de ruedas ademas pantallas muy brillantes me duelen,0,1,2
"mi agudeza visual es correcta y no tengo piernas, por otro lado oigo bien.",0,1,1
camino bien pero ojos sensibles,1,1,2
"llevo lentillas y veo bien, por otro lado ando con muletas pero tengo hipersensibilidad auditiva.",0,2,1
sin problemas de oido,1,1,1
"me muevo con normalidad, por otro lado de oido ando perfecto",1,1,1
audicion sin problemas,1,1,1
escucho los ruidos demasiado fuertes y de la vista ando bien,1,2,1
me cuesta mucho caminar y no soporto el volumen alto pero todo ok con la vista.,0,2,1
no tengo orejas pero no puedo caminar aunque tengo vision normal.,0,0,1
no soporto el volumen alto no veo nada aunque voy en silla.,0,2,0
no soporto las luces brillantes y ando bien de las piernas aunque uso lenguaje de senas.,1,0,2
"camino con baston, uso gafas para leer",0,1,1
"mi agudeza visual es correcta. movilidad estandar, por otro lado oigo genial.",1,1,1
"tengo audicion nula, por otro lado sin problemas de movilidad",1,0,1
soy paraplejico,0,1,1
ando cojo,0,1,1
"hipersensibilidad a la luz, por otro lado hiperaudicion aunque movilidad estandar.",1,2,2
"los sonidos agudos me dan dolor de cabeza, por otro lado sufro tdah",2,2,1
"necesidad de moverme siempre aunque vista de aguila, de oido ando perfecto.",2,1,2
"de la vista ando bien, movilidad estandar",1,1,1
tengo hiperacusia y tengo necesidad constante de moverme y perdi el ojo.,2,2,0
ando bien de las piernas pero tengo hiperacusia. llevo lentillas y veo bien.,1,2,1
mi oido es normal,1,1,1
uso gafas para leer,1,1,1
me muevo compulsivamente,2,1,1
tengo muy poca vision pero ando cojo. escucho perfectamente.,0,1,0
uso gafas para leer,1,1,1
"oigo bien. ando en silla de ruedas, por otro lado mi vista es normal.",0,1,1
camino muy lento y no soporto el volumen alto,0,2,1
no oigo nada,1,0,1
me duelen los ojos ademas sensible a pitidos aunque camino bien.,1,2,0
"mi oido es normal, por otro lado diagnosticado de tdah",2,1,1
"no veo en absoluto. ruido ambiental me agobia, me muevo con normalidad.",1,2,0
"sin problemas de oido, por otro lado no veo nada ademas me cuesta mucho caminar.",0,1,0
tengo audicion nula ademas he perdido la vista,1,0,0
tengo vision nula y inquietud motora extrema,2,1,0
"el ruido fuerte me daña, hipervision",1,2,2
no soporto el volumen alto aunque no veo en absoluto,1,2,0
invalido,0,1,1
"no soporto el volumen alto aunque tengo necesidad constante de moverme, por otro lado no veo nada.",2,2,0
"de oido ando perfecto, veo perfectamente",1,1,1
casi no tengo vista,1,1,0
oigo bien aunque veo lo estandar ando bien de las piernas.,1,1,1
uso gafas para leer,1,1,1
veo lo estandar pero oigo genial pero necesito espacio amplio.,2,1,1
"tapon en el oido, camino perfectamente",1,0,1
puedo andar sin problemas,1,1,1
me molesta mucho la luz pero camino perfectamente,1,1,2
no veo nada,1,1,0
escucho las conversaciones sin problema. mi movilidad es normal,1,1,1
vista de aguila,1,1,2
puedo andar sin problemas,1,1,1
no me puedo quedar quieto ademas toy sordo,2,0,1
tengo hipersensibilidad auditiva y no soporto estar atrapado,2,2,1
"sin problemas de movilidad, sin problemas de vista",1,1,1
tengo hipersensibilidad auditiva pero necesito ambiente oscuro ademas diagnosticado de tdah.,2,2,2
tengo sordera profunda. me muevo con normalidad llevo lentillas y veo bien.,1,0,1
toy ciego y sin problemas de movilidad,1,1,0
camino perfectamente pero mi agudeza visual es correcta y oido demasiado sensible.,1,2,1
no me puedo quedar quieto y oigo bien,2,1,1
camino con mueletas y veo bien. escucho todo muy apagado.,0,0,1
hipervision aunque no puedo subir escaleras. me molestan mucho los ruidos.,0,2,2
me molesta mucho la luz ademas sin problemas de movilidad,1,1,2
"me molesta mucho la luz y oigo bien, por otro lado dificultad severa para moverme.",0,1,2
tengo vision nula estoy postrado hiperaudicion.,0,2,0
no oigo nada,1,0,1
"tengo vision nula, escucho todo muy apagado, necesito espacio amplio.",2,0,0
"vista de aguila, por otro lado me muevo con normalidad",1,1,2
tengo hipersensibilidad visual,1,1,2
audicion sin problemas aunque soy ciego parcialmente,1,1,0
soy hiperactivo,2,1,1
movilidad estandar,1,1,1
uso gafas para leer,1,1,1
hipermovilidad,2,1,1
veo todo muy borroso aunque de oido ando perfecto. diagnosticado de tdah.,2,1,0
"hipersensibilidad a la luz pero sin problemas de movilidad, tengo audicion normal.",1,1,2
tengo audicion normal,1,1,1
"veo perfectamente ademas mi movilidad es normal, tengo audicion normal.",1,1,1
"mi agudeza visual es correcta, escucho los ruidos demasiado fuertes",1,2,1
estoy inmovilizado ojos sensibles,0,1,2
"veo lo estandar aunque escucho los ruidos demasiado fuertes, por otro lado no puedo caminar.",0,2,1
escucho los ruidos demasiado fuertes y tengo vision normal y mi movilidad es normal.,1,2,1
"tengo tdah, sin problemas de oido aunque veo destellos constantemente.",2,1,2
"soy sordo y vista de aguila, dificultad severa para moverme.",0,0,2
ando cojo ademas hipersensibilidad a la luz aunque audicion sin problemas.,0,1,2
"audicion sin problemas no tengo piernas, mi agudeza visual es correcta.",0,1,1
"los sonidos agudos me dan dolor de cabeza ademas todo ok con la vista, por otro lado camino bien.",1,2,1
tengo hipersensibilidad auditiva ademas camino bien,1,2,1
"tengo hiperacusia, por otro lado diagnosticado de tdah, por otro lado veo todo muy borroso.",2,2,0
sufro tdah pero oigo genial,2,1,1
tengo hipersensibilidad auditiva ademas hipersensibilidad a la luz y camino muy lento.,0,2,2
"tengo fotofobia, por otro lado de oido ando perfecto pero estoy inmovilizado.",0,1,2
camino perfectamente. sensible a pitidos,1,2,1
vista de aguila,1,1,2
"camino perfectamente. sordo total, por otro lado los brillos me hacen daño en los ojos.",1,0,2
"tapon en el oido, necesito ambiente oscuro",1,0,2
audicion sin problemas,1,1,1
todo ok con la vista,1,1,1
sin sentido del oido,1,0,1
uso lenguaje de senas aunque tengo tics motores,2,0,1
tengo muy poca vision,1,1,0
"he perdido la vista, por otro lado sin problemas de oido estoy inmovilizado.",0,1,0
los brillos me hacen daño en los ojos pero me cuesta mucho caminar aunque los sonidos agudos me dan dolor de cabeza.,0,2,2
uso baston para ciegos tengo audicion nula,1,0,0
tengo hiperacusia aunque mi vista es normal,1,2,1
inquietud motora extrema,2,1,1
"camino con mueletas, tengo vision normal, no escucho nada.",0,0,1
tengo hiperacusia. no soporto estar atrapado,2,2,1
sin problemas de movilidad ademas no veo casi nada,1,1,0
orejas sensibles aunque pantallas muy brillantes me duelen,1,2,2
"tengo sordera profunda. ningun problema para caminar, por otro lado veo todo muy borroso.",1,0,0
he perdido la vista,1,1,0
camino con mueletas,0,1,1
no puedo subir escaleras,0,1,1
puedo andar sin problemas y llevo lentillas y veo bien,1,1,1
sufro tdah y tengo fotofobia,2,1,2
orejas sensibles,1,2,1
no veo casi nada aunque escucho las conversaciones sin problema y no puedo andar.,0,1,0
oido demasiado sensible,1,2,1
"veo todo muy borroso. ningun problema para caminar, por otro lado escucho las conversaciones sin problema.",1,1,0
ando con muletas y escucho las conversaciones sin problema,0,1,1
soy hiperactivo veo perfectamente aunque uso lenguaje de senas.,2,0,1
no tengo problemas en los ojos,1,1,1
no escucho nada inquietud motora extrema,2,0,1
los brillos me hacen daño en los ojos camino bien,1,1,2
veo muy mal y estoy inmovilizado,0,1,0
tengo audicion normal estoy inmovilizado aunque hipersensibilidad a la luz.,0,1,2
escucho los ruidos demasiado fuertes pero soy hiperactivo,2,2,1
